capture_index,landing_page_url,advertiser,representative_ad_library_id,slug,viewport_width,viewport_height,page_title,page_height_px,screen_count,capture_status,screenshots_dir,pdf_path,error
7,https://kyujinbooster.argon18.co.jp/lp/,求人Booster,1830059254295809,lp-07-kyujinbooster-argon18-co-jp-1830059254295809,1440,900,求人Booster｜求人媒体からの応募獲得を自動化,9890,11,complete,output/lp-screens/lp-07-kyujinbooster-argon18-co-jp-1830059254295809,output/lp-pdfs/lp-07-kyujinbooster-argon18-co-jp-1830059254295809.pdf,
10,https://lp.sakiyomi-system.com/p/HDrkukjXdXw4?ad_account_no=2,Sakiyomiスクール,1477879426964566,lp-10-lp-sakiyomi-system-com-1477879426964566,1440,900,,1121,2,complete,output/lp-screens/lp-10-lp-sakiyomi-system-com-1477879426964566,output/lp-pdfs/lp-10-lp-sakiyomi-system-com-1477879426964566.pdf,
11,https://howpro-fc-x.hp.peraichi.com/eakon2,ハウプロ,1472342583811952,lp-11-howpro-fc-x-hp-peraichi-com-1472342583811952,1440,900,エアコンクリーニングの低資金開業をお考えならハウプロ！,33653,38,complete,output/lp-screens/lp-11-howpro-fc-x-hp-peraichi-com-1472342583811952,output/lp-pdfs/lp-11-howpro-fc-x-hp-peraichi-com-1472342583811952.pdf,
16,https://nagara-dc.com/pediatric_ortho/,おすすめ情報,3214160308733183,lp-16-nagara-dc-com-3214160308733183,1440,900,中川区で小児矯正｜こう歯科矯正歯科,44555,50,complete,output/lp-screens/lp-16-nagara-dc-com-3214160308733183,output/lp-pdfs/lp-16-nagara-dc-com-3214160308733183.pdf,
18,https://service.abcash.co.jp/abcash/sakigake_01/,ABCash-ファイナンシャルトレーニングスタジオ,1045157094465797,lp-18-service-abcash-co-jp-1045157094465797,1440,900,サキガケマネー！｜お金のモヤモヤ、ふっとばそっ！,24600,28,complete,output/lp-screens/lp-18-service-abcash-co-jp-1045157094465797,output/lp-pdfs/lp-18-service-abcash-co-jp-1045157094465797.pdf,
19,https://coloria.jp/lp/diagnosis_top,Coloria,2290382191704841,lp-19-coloria-jp-2290382191704841,1440,900,香水診断をはじめる｜カラリア,4836,6,complete,output/lp-screens/lp-19-coloria-jp-2290382191704841,output/lp-pdfs/lp-19-coloria-jp-2290382191704841.pdf,
